DATE,VALUE
1947-01-01,21.226
1947-04-01,21.590
1947-07-01,21.690
1947-10-01,21.406
1948-01-01,21.476
1948-04-01,21.687
1948-07-01,21.555
1948-10-01,21.837
1949-01-01,21.921
1949-04-01,21.982
1949-07-01,21.790
1949-10-01,22.147
1950-01-01,22.430
1950-04-01,22.691
1950-07-01,23.083
1950-10-01,22.570
1951-01-01,22.984
1951-04-01,22.648
1951-07-01,23.124
1951-10-01,23.396
1952-01-01,23.202
1952-04-01,23.742
1952-07-01,24.159
1952-10-01,24.514
1953-01-01,24.666
1953-04-01,24.779
1953-07-01,24.552
1953-10-01,24.588
1954-01-01,24.825
1954-04-01,24.759
1954-07-01,25.072
1954-10-01,25.494
1955-01-01,25.759
1955-04-01,26.234
1955-07-01,26.410
1955-10-01,26.947
1956-01-01,27.251
1956-04-01,27.183
1956-07-01,27.201
1956-10-01,27.419
1957-01-01,27.585
1957-04-01,27.689
1957-07-01,28.073
1957-10-01,27.890
1958-01-01,27.638
1958-04-01,27.889
1958-07-01,28.399
1958-10-01,28.789
1959-01-01,29.164
1959-04-01,29.405
1959-07-01,29.518
1959-10-01,29.701
1960-01-01,29.775
1960-04-01,30.100
1960-07-01,29.924
1960-10-01,29.945
1961-01-01,30.122
1961-04-01,30.526
1961-07-01,30.549
1961-10-01,30.964
1962-01-01,31.221
1962-04-01,31.346
1962-07-01,31.590
1962-10-01,31.767
1963-01-01,31.941
1963-04-01,32.050
1963-07-01,32.343
1963-10-01,32.302
1964-01-01,32.855
1964-04-01,33.482
1964-07-01,34.136
1964-10-01,34.201
1965-01-01,34.528
1965-04-01,34.858
1965-07-01,35.380
1965-10-01,36.693
1966-01-01,36.960
1966-04-01,37.310
1966-07-01,37.578
1966-10-01,37.474
1967-01-01,37.895
1967-04-01,38.177
1967-07-01,38.141
1967-10-01,38.314
1968-01-01,39.068
1968-04-01,39.548
1968-07-01,40.178
1968-10-01,40.187
1969-01-01,40.633
1969-04-01,40.723
1969-07-01,40.875
1969-10-01,41.149
1970-01-01,41.502
1970-04-01,41.476
1970-07-01,41.774
1970-10-01,42.261
1971-01-01,42.434
1971-04-01,42.531
1971-07-01,42.444
1971-10-01,42.733
1972-01-01,42.874
1972-04-01,44.033
1972-07-01,44.640
1972-10-01,45.483
1973-01-01,45.757
1973-04-01,45.370
1973-07-01,45.583
1973-10-01,45.403
1974-01-01,44.794
1974-04-01,44.497
1974-07-01,44.593
1974-10-01,43.797
1975-01-01,43.881
1975-04-01,44.853
1975-07-01,45.292
1975-10-01,45.181
1976-01-01,46.097
1976-04-01,46.805
1976-07-01,47.164
1976-10-01,47.660
1977-01-01,47.629
1977-04-01,47.625
1977-07-01,47.861
1977-10-01,48.889
1978-01-01,49.098
1978-04-01,49.476
1978-07-01,49.860
1978-10-01,50.503
1979-01-01,50.726
1979-04-01,50.628
1979-07-01,51.221
1979-10-01,51.491
1980-01-01,51.466
1980-04-01,50.769
1980-07-01,50.645
1980-10-01,50.843
1981-01-01,51.292
1981-04-01,51.520
1981-07-01,51.634
1981-10-01,51.832
1982-01-01,51.928
1982-04-01,51.838
1982-07-01,52.059
1982-10-01,52.594
1983-01-01,52.764
1983-04-01,53.385
1983-07-01,54.197
1983-10-01,54.858
1984-01-01,54.997
1984-04-01,56.199
1984-07-01,56.242
1984-10-01,56.675
1985-01-01,57.021
1985-04-01,57.466
1985-07-01,57.938
1985-10-01,58.455
1986-01-01,59.196
1986-04-01,59.723
1986-07-01,59.847
1986-10-01,60.334
1987-01-01,60.413
1987-04-01,60.874
1987-07-01,60.924
1987-10-01,60.998
1988-01-01,61.656
1988-04-01,62.146
1988-07-01,62.575
1988-10-01,63.227
1989-01-01,63.513
1989-04-01,63.610
1989-07-01,64.248
1989-10-01,64.976
1990-01-01,64.891
