DATE,VALUE
1947-01-01,1312.3
1947-04-01,1297.4
1947-07-01,1330.7
1947-10-01,1311.5
1948-01-01,1337.3
1948-04-01,1379.1
1948-07-01,1401.7
1948-10-01,1409.5
1949-01-01,1381.8
1949-04-01,1388.6
1949-07-01,1397.5
1949-10-01,1405.4
1950-01-01,1513.7
1950-04-01,1509.2
1950-07-01,1528.1
1950-10-01,1537.5
1951-01-01,1539.3
1951-04-01,1573.5
1951-07-01,1591.4
1951-10-01,1588.5
1952-01-01,1587.7
1952-04-01,1607.8
1952-07-01,1640.2
1952-10-01,1675.4
1953-01-01,1695.8
1953-04-01,1717.9
1953-07-01,1709.7
1953-10-01,1704.0
1954-01-01,1712.7
1954-04-01,1714.3
1954-07-01,1732.5
1954-10-01,1765.7
1955-01-01,1794.5
1955-04-01,1834.0
1955-07-01,1867.7
1955-10-01,1889.5
1956-01-01,1909.0
1956-04-01,1927.1
1956-07-01,1936.9
1956-10-01,1966.3
1957-01-01,1972.1
1957-04-01,1986.0
1957-07-01,1996.8
1957-10-01,1984.9
1958-01-01,1969.8
1958-04-01,1983.0
1958-07-01,2022.9
1958-10-01,2047.6
1959-01-01,2065.0
1959-04-01,2098.0
1959-07-01,2095.1
1959-10-01,2110.1
1960-01-01,2135.2
1960-04-01,2148.6
1960-07-01,2152.4
1960-10-01,2151.5
1961-01-01,2172.4
1961-04-01,2205.5
1961-07-01,2234.8
1961-10-01,2277.9
1962-01-01,2299.7
1962-04-01,2323.9
1962-07-01,2336.0
1962-10-01,2356.6
1963-01-01,2376.8
1963-04-01,2398.9
1963-07-01,2425.4
1963-10-01,2465.0
1964-01-01,2513.4
1964-04-01,2580.9
1964-07-01,2614.2
1964-10-01,2643.9
1965-01-01,2675.0
1965-04-01,2705.3
1965-07-01,2779.5
1965-10-01,2835.4
1966-01-01,2863.5
1966-04-01,2870.9
1966-07-01,2905.9
1966-10-01,2939.6
1967-01-01,2983.4
1967-04-01,3006.8
1967-07-01,3035.1
1967-10-01,3057.1
1968-01-01,3109.3
1968-04-01,3161.2
1968-07-01,3168.9
1968-10-01,3190.5
1969-01-01,3197.0
1969-04-01,3232.2
1969-07-01,3300.6
1969-10-01,3326.5
1970-01-01,3359.0
1970-04-01,3398.5
1970-07-01,3451.7
1970-10-01,3442.9
1971-01-01,3512.0
1971-04-01,3563.2
1971-07-01,3582.2
1971-10-01,3624.0
1972-01-01,3640.6
1972-04-01,3677.8
1972-07-01,3748.5
1972-10-01,3897.2
1973-01-01,3924.9
1973-04-01,3956.2
1973-07-01,3973.4
1973-10-01,4017.1
1974-01-01,3950.9
1974-04-01,3914.0
1974-07-01,3917.7
1974-10-01,3912.9
1975-01-01,3906.5
1975-04-01,4087.8
1975-07-01,4028.4
1975-10-01,4059.2
1976-01-01,4106.9
1976-04-01,4128.2
1976-07-01,4158.6
1976-10-01,4183.4
1977-01-01,4182.1
1977-04-01,4234.2
1977-07-01,4299.0
1977-10-01,4382.1
1978-01-01,4413.0
1978-04-01,4456.6
1978-07-01,4488.8
1978-10-01,4524.2
1979-01-01,4572.3
1979-04-01,4532.8
1979-07-01,4554.2
1979-10-01,4574.3
1980-01-01,4589.8
1980-04-01,4523.1
1980-07-01,4578.3
1980-10-01,4668.1
1981-01-01,4655.6
1981-04-01,4654.5
1981-07-01,4749.8
1981-10-01,4759.1
1982-01-01,4764.8
1982-04-01,4792.3
1982-07-01,4818.0
1982-10-01,4839.7
1983-01-01,4881.3
1983-04-01,4915.9
1983-07-01,4990.1
1983-10-01,5097.6
1984-01-01,5201.8
1984-04-01,5288.3
1984-07-01,5360.8
1984-10-01,5404.9
1985-01-01,5392.0
1985-04-01,5495.8
1985-07-01,5477.4
1985-10-01,5540.3
1986-01-01,5609.4
1986-04-01,5683.9
1986-07-01,5724.1
1986-10-01,5734.4
1987-01-01,5781.6
