DATE,VALUE
1947-01-01,10.889
1947-04-01,11.047
1947-07-01,11.023
1947-10-01,10.965
1948-01-01,11.083
1948-04-01,11.256
1948-07-01,11.316
1948-10-01,11.430
1949-01-01,11.502
1949-04-01,11.560
1949-07-01,11.536
1949-10-01,11.570
1950-01-01,11.713
1950-04-01,12.010
1950-07-01,12.195
1950-10-01,12.272
1951-01-01,12.607
1951-04-01,12.692
1951-07-01,12.851
1951-10-01,12.883
1952-01-01,13.042
1952-04-01,13.246
1952-07-01,13.421
1952-10-01,13.612
1953-01-01,13.752
1953-04-01,13.916
1953-07-01,14.000
1953-10-01,13.897
1954-01-01,14.026
1954-04-01,14.269
1954-07-01,14.517
1954-10-01,14.692
1955-01-01,14.865
1955-04-01,14.973
1955-07-01,15.127
1955-10-01,15.428
1956-01-01,15.576
1956-04-01,15.725
1956-07-01,15.890
1956-10-01,16.097
1957-01-01,16.159
1957-04-01,16.297
1957-07-01,16.416
1957-10-01,16.593
1958-01-01,16.573
1958-04-01,16.814
1958-07-01,17.043
1958-10-01,17.153
1959-01-01,17.362
1959-04-01,17.622
1959-07-01,17.859
1959-10-01,18.075
1960-01-01,18.237
1960-04-01,18.439
1960-07-01,18.417
1960-10-01,18.595
1961-01-01,18.782
1961-04-01,19.056
1961-07-01,19.115
1961-10-01,19.452
1962-01-01,19.636
1962-04-01,19.929
1962-07-01,20.101
1962-10-01,20.354
1963-01-01,20.435
1963-04-01,20.660
1963-07-01,21.022
1963-10-01,21.308
1964-01-01,21.651
1964-04-01,21.952
1964-07-01,22.239
1964-10-01,22.544
1965-01-01,22.803
1965-04-01,23.150
1965-07-01,23.468
1965-10-01,23.867
1966-01-01,24.113
1966-04-01,24.373
1966-07-01,24.571
1966-10-01,24.837
1967-01-01,25.067
1967-04-01,25.310
1967-07-01,25.654
1967-10-01,25.867
1968-01-01,26.266
1968-04-01,26.676
1968-07-01,27.017
1968-10-01,27.315
1969-01-01,27.558
1969-04-01,27.897
1969-07-01,28.119
1969-10-01,28.469
1970-01-01,28.774
1970-04-01,28.957
1970-07-01,29.286
1970-10-01,29.434
1971-01-01,29.637
1971-04-01,29.936
1971-07-01,30.218
1971-10-01,30.693
1972-01-01,31.210
1972-04-01,31.591
1972-07-01,32.019
1972-10-01,32.592
1973-01-01,33.010
1973-04-01,33.292
1973-07-01,33.514
1973-10-01,33.641
1974-01-01,33.592
1974-04-01,33.922
1974-07-01,34.090
1974-10-01,34.433
1975-01-01,34.753
1975-04-01,35.187
1975-07-01,35.358
1975-10-01,35.856
1976-01-01,36.275
1976-04-01,36.516
1976-07-01,36.963
1976-10-01,37.476
1977-01-01,37.923
1977-04-01,38.070
1977-07-01,38.483
1977-10-01,38.851
1978-01-01,39.468
1978-04-01,40.059
1978-07-01,40.345
1978-10-01,40.554
1979-01-01,40.967
1979-04-01,41.223
1979-07-01,41.387
1979-10-01,41.747
1980-01-01,41.809
1980-04-01,41.544
1980-07-01,42.009
1980-10-01,42.631
1981-01-01,42.535
1981-04-01,42.804
1981-07-01,42.765
1981-10-01,42.804
1982-01-01,42.974
1982-04-01,43.264
1982-07-01,43.677
1982-10-01,44.408
1983-01-01,44.985
1983-04-01,45.554
1983-07-01,46.196
1983-10-01,46.661
1984-01-01,46.883
1984-04-01,47.274
1984-07-01,47.888
1984-10-01,48.437
1985-01-01,49.316
1985-04-01,49.787
1985-07-01,50.476
1985-10-01,50.914
1986-01-01,51.103
1986-04-01,51.438
1986-07-01,51.908
1986-10-01,52.500
1987-01-01,53.271
1987-04-01,53.820
1987-07-01,54.317
1987-10-01,54.844
1988-01-01,55.605
1988-04-01,56.093
1988-07-01,56.900
1988-10-01,57.386
