DATE,VALUE
1954-01-01,1.06
1954-04-01,0.79
1954-07-01,0.88
1954-10-01,1.03
1955-01-01,1.23
1955-04-01,1.48
1955-07-01,1.86
1955-10-01,2.34
1956-01-01,2.33
1956-04-01,2.57
1956-07-01,2.57
1956-10-01,3.03
1957-01-01,3.10
1957-04-01,3.13
1957-07-01,3.35
1957-10-01,3.32
1958-01-01,1.78
1958-04-01,0.96
1958-07-01,1.67
1958-10-01,2.69
1959-01-01,2.78
1959-04-01,3.00
1959-07-01,3.53
1959-10-01,4.24
1960-01-01,3.85
1960-04-01,2.98
1960-07-01,2.36
1960-10-01,2.31
1961-01-01,2.35
1961-04-01,2.30
1961-07-01,2.31
1961-10-01,2.46
1962-01-01,2.72
1962-04-01,2.71
1962-07-01,2.84
1962-10-01,2.81
1963-01-01,2.91
1963-04-01,2.94
1963-07-01,3.29
1963-10-01,3.49
1964-01-01,3.53
1964-04-01,3.47
1964-07-01,3.50
1964-10-01,3.69
1965-01-01,3.89
1965-04-01,3.87
1965-07-01,3.87
1965-10-01,4.17
1966-01-01,4.61
1966-04-01,4.58
1966-07-01,5.04
1966-10-01,5.20
1967-01-01,4.51
1967-04-01,3.65
1967-07-01,4.30
1967-10-01,4.75
1968-01-01,5.05
1968-04-01,5.52
1968-07-01,5.20
1968-10-01,5.59
1969-01-01,6.09
1969-04-01,6.20
1969-07-01,7.02
1969-10-01,7.36
1970-01-01,7.21
1970-04-01,6.67
1970-07-01,6.33
1970-10-01,5.35
1971-01-01,3.82
1971-04-01,4.26
1971-07-01,5.01
1971-10-01,4.22
1972-01-01,3.45
1972-04-01,3.77
1972-07-01,4.21
1972-10-01,4.86
1973-01-01,5.71
1973-04-01,6.60
1973-07-01,8.34
1973-10-01,7.50
1974-01-01,7.65
1974-04-01,8.16
1974-07-01,8.19
1974-10-01,7.36
1975-01-01,5.78
1975-04-01,5.40
1975-07-01,6.33
1975-10-01,5.64
1976-01-01,4.92
1976-04-01,5.16
1976-07-01,5.15
1976-10-01,4.66
1977-01-01,4.63
1977-04-01,4.84
1977-07-01,5.50
1977-10-01,6.11
1978-01-01,6.39
1978-04-01,6.48
1978-07-01,7.30
1978-10-01,8.56
1979-01-01,9.39
1979-04-01,9.37
1979-07-01,9.65
1979-10-01,11.84
1980-01-01,13.35
1980-04-01,9.62
1980-07-01,9.14
1980-10-01,13.60
1981-01-01,14.35
1981-04-01,14.89
1981-07-01,15.05
1981-10-01,11.78
1982-01-01,12.78
1982-04-01,12.43
1982-07-01,9.31
1982-10-01,7.90
1983-01-01,8.11
1983-04-01,8.41
1983-07-01,9.15
1983-10-01,8.80
1984-01-01,9.18
1984-04-01,9.80
1984-07-01,10.32
1984-10-01,8.83
1985-01-01,8.18
1985-04-01,7.47
1985-07-01,7.11
1985-10-01,7.16
1986-01-01,6.90
1986-04-01,6.14
1986-07-01,5.53
1986-10-01,5.35
1987-01-01,5.54
1987-04-01,5.65
1987-07-01,6.04
1987-10-01,5.87
1988-01-01,5.72
1988-04-01,6.22
1988-07-01,7.02
1988-10-01,7.73
1989-01-01,8.55
1989-04-01,8.40
1989-07-01,7.85
1989-10-01,7.65
1990-01-01,7.76
1990-04-01,7.75
1990-07-01,7.48
1990-10-01,6.99
1991-01-01,6.03
1991-04-01,5.56
1991-07-01,5.38
1991-10-01,4.55
1992-01-01,3.90
1992-04-01,3.68
1992-07-01,3.08
1992-10-01,3.07
1993-01-01,2.96
1993-04-01,2.97
1993-07-01,3.00
1993-10-01,3.06
1994-01-01,3.26
1994-04-01,4.00
1994-07-01,4.48
1994-10-01,5.28
1995-01-01,5.74
1995-04-01,5.59
1995-07-01,5.37
1995-10-01,5.26
1996-01-01,4.93
1996-04-01,5.02
1996-07-01,5.10
1996-10-01,4.97
1997-01-01,5.06
1997-04-01,5.05
1997-07-01,5.05
1997-10-01,5.09
1998-01-01,5.05
1998-04-01,4.97
1998-07-01,4.83
1998-10-01,4.25
1999-01-01,4.41
1999-04-01,4.45
1999-07-01,4.65
1999-10-01,5.05
2000-01-01,5.53
2000-04-01,5.71
2000-07-01,6.02
2000-10-01,6.02
2001-01-01,4.81
2001-04-01,3.66
2001-07-01,3.21
2001-10-01,1.91
2002-01-01,1.72
2002-04-01,1.72
2002-07-01,1.64
2002-10-01,1.34
2003-01-01,1.15
2003-04-01,1.04
2003-07-01,0.93
2003-10-01,0.92
2004-01-01,0.92
2004-04-01,1.08
2004-07-01,1.49
2004-10-01,2.01
2005-01-01,2.54
2005-04-01,2.87
2005-07-01,3.36
2005-10-01,3.83
2006-01-01,4.40
2006-04-01,4.71
2006-07-01,4.91
2006-10-01,4.90
2007-01-01,4.98
2007-04-01,4.74
2007-07-01,4.31
2007-10-01,3.41
2008-01-01,2.06
2008-04-01,1.62
2008-07-01,1.50
2008-10-01,0.31
2009-01-01,0.21
2009-04-01,0.17
2009-07-01,0.16
2009-10-01,0.06
2010-01-01,0.11
2010-04-01,0.15
2010-07-01,0.15
2010-10-01,0.14
2011-01-01,0.13
2011-04-01,0.05
2011-07-01,0.03
2011-10-01,0.01
2012-01-01,0.07
2012-04-01,0.09
2012-07-01,0.10
2012-10-01,0.09
2013-01-01,0.09
2013-04-01,0.05
2013-07-01,0.03
2013-10-01,0.06
2014-01-01,0.05
2014-04-01,0.03
2014-07-01,0.03
2014-10-01,0.02
2015-01-01,0.02
2015-04-01,0.02
2015-07-01,0.04
2015-10-01,.
