Date	Last Price
2015-11-06	391.97
2015-09-30	388.99
2015-06-30	433.44
2015-03-31	417.18
2014-12-31	447.41
2014-09-30	489.22
2014-06-30	544.74
2014-03-31	560.42
2013-12-31	508.06
2013-09-30	517.58
2013-06-28	500.38
2013-03-29	551.89
2012-12-31	554.62
2012-09-28	580.24
2012-06-29	539.66
2012-03-30	572.94
2011-12-30	563.00
2011-09-30	571.38
2011-06-30	632.23
2011-03-31	672.81
2010-12-31	629.53
2010-09-30	536.12
2010-06-30	471.37
2010-03-31	467.25
2009-12-31	484.42
2009-09-30	430.67
2009-06-30	398.76
2009-03-31	368.83
2008-12-31	363.06
2008-09-30	452.42
2008-06-30	595.98
2008-03-31	516.38
2007-12-31	476.08
2007-09-28	447.56
2007-06-29	410.36
2007-03-30	407.45
2006-12-29	394.89
2006-09-29	370.10
2006-06-30	385.63
2006-03-31	361.91
2005-12-30	347.89
2005-09-30	333.33
2005-06-30	306.91
2005-03-31	313.57
2004-12-31	283.90
2004-09-30	284.98
2004-06-30	265.94
2004-03-31	283.77
2003-12-31	255.29
2003-09-30	243.66
2003-06-30	233.78
2003-03-31	232.15
2002-12-31	234.52
2002-09-30	226.53
2002-06-28	209.29
2002-03-29	204.92
2001-12-31	190.61
2001-09-28	190.49
2001-06-29	205.56
2001-03-30	210.26
2000-12-29	227.83
2000-09-29	226.57
2000-06-30	223.93
2000-03-31	214.37
1999-12-31	205.14
1999-09-30	205.19
1999-06-30	191.54
1999-03-31	191.83
1998-12-31	191.22
1998-09-30	203.30
1998-06-30	214.63
1998-03-31	228.89
1997-12-31	229.14
1997-09-30	243.06
1997-06-30	239.42
1997-03-31	245.17
1996-12-31	239.61
1996-09-30	245.63
1996-06-28	248.66
1996-03-29	251.40
1995-12-29	243.18
1995-09-29	241.73
1995-06-30	233.38
1995-03-31	232.94
1994-12-30	236.64
1994-09-30	229.85
1994-06-30	230.39
1994-03-31	227.67
1993-12-31	226.31
1993-09-30	216.12
1993-06-30	207.12
1993-03-31	212.49
1992-12-31	202.76
1992-09-30	200.36
1992-06-30	209.26
1992-03-31	209.77
1991-12-31	208.08
1991-09-30	215.56
1991-06-28	208.44
1991-03-29	218.47
1990-12-31	222.64
1990-09-28	239.17
1990-06-29	236.89
1990-03-30	238.16
1989-12-29	229.93
1989-09-29	226.82
1989-06-30	234.42
1989-03-31	242.06
1988-12-30	251.83
1988-09-30	238.75
1988-06-30	265.07
1988-03-31	232.99
1987-12-31	232.53
1987-09-30	223.83
1987-06-30	225.87
1987-03-31	208.70
1986-12-31	209.07
1986-09-30	210.92
1986-06-30	201.57
1986-03-31	209.27
1985-12-31	229.37
1985-09-30	223.20
1985-06-28	226.50
1985-03-29	245.10
1984-12-31	244.20
1984-09-28	251.40
1984-06-29	271.00
1984-03-30	283.00
1983-12-30	277.60
1983-09-30	273.50
1983-06-30	246.20
1983-03-31	242.10
1982-12-31	234.00
1982-09-30	227.90
1982-06-30	239.30
1982-03-31	250.10
1981-12-31	254.90
1981-09-30	268.60
1981-06-30	263.90
1981-03-31	298.40
1980-12-31	308.50
1980-09-30	319.40
1980-06-30	286.40
1980-03-31	258.00
1979-12-31	281.50
1979-09-28	275.10
1979-06-29	255.30
1979-03-30	238.20
1978-12-29	227.60
1978-09-29	223.20
1978-06-30	211.60
1978-03-31	216.30
1977-12-30	200.30
1977-09-30	191.60
1977-06-30	209.60
1977-03-31	222.20
1976-12-31	204.70
1976-09-30	199.20
1976-06-30	219.30
1976-03-31	195.30
1975-12-31	191.00
1975-09-30	210.40
1975-06-30	185.00
1975-03-31	192.20
1974-12-31	203.90
1974-09-30	226.80
1974-06-28	197.60
1974-03-29	208.90
1973-12-31	200.60
1973-09-28	194.30
1973-06-29	177.00
1973-03-30	144.50
1972-12-29	135.90
1972-09-29	121.90
1972-06-30	109.00
1972-03-31	106.60
1971-12-31	103.40
1971-09-30	96.80
1971-06-30	102.00
1971-03-31	102.10
1970-12-31	102.50
1970-09-30	105.00
1970-06-30	101.90
1970-03-31	101.10
1969-12-31	103.90
1969-09-30	103.10
1969-06-30	102.30
1969-03-31	101.60
1968-12-31	100.80
1968-09-30	96.90
1968-06-28	97.10
1968-03-29	100.50
1967-12-29	99.60
1967-09-29	100.00
1967-06-30	100.80
1967-03-31	100.80
1966-12-30	103.53
1966-09-30	105.17
1966-06-30	108.82
1966-03-31	106.86
1965-12-31	105.37
1965-09-30	102.14
1965-06-30	99.26
1965-03-31	103.07
1964-12-31	103.73
1964-09-30	105.83
1964-06-30	102.15
1964-03-31	106.76
1963-12-31	109.49
1963-09-30	107.46
1963-06-28	105.59
1963-03-29	104.25
1962-12-31	102.70
1962-09-28	99.52
1962-06-29	100.17
1962-03-30	103.33
1961-12-29	102.68
1961-09-29	102.71
1961-06-30	104.92
1961-03-31	100.99
1960-12-30	97.00
1960-09-30	98.33
1960-06-30	99.06
1960-03-31	102.17
1959-12-31	101.43
1959-09-30	100.89
1959-06-30	101.69
1959-03-31	101.65
1958-12-31	100.95
1958-09-30	101.24
1958-06-30	102.96
1958-03-31	103.67
1957-12-31	102.87
1957-09-30	103.58
1957-06-28	107.58
1957-03-29	109.19
1956-12-31	111.72
1956-09-28	108.27
