year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,ffr_3,cci_3
1996,1,1,6.6185369,.0062694303,.66032052,10.385285,10.361887,.013076944,5.4938021,,,,,,,,,,,,,,,,,,,,,
1996,4,1,6.663733,.0086407587,.65429956,10.403955,10.379893,.012768317,5.5270452,6.6185369,.0062694303,.66032052,10.385285,10.361887,.013076944,5.4938021,,,,,,,,,,,,,,
1996,7,1,6.6771936,.0053081051,.65671885,10.39219,10.365612,.012934549,5.5160866,6.663733,.0086407587,.65429956,10.403955,10.379893,.012768317,5.5270452,6.6185369,.0062694303,.66032052,10.385285,10.361887,.013076944,5.4938021,,,,,,,
1996,10,1,6.6496119,.0084263505,.66038752,10.416381,10.391899,.012863321,5.5038261,6.6771936,.0053081051,.65671885,10.39219,10.365612,.012934549,5.5160866,6.663733,.0086407587,.65429956,10.403955,10.379893,.012768317,5.5270452,6.6185369,.0062694303,.66032052,10.385285,10.361887,.013076944,5.4938021
1997,1,1,6.6221409,.0055679944,.66075814,10.422174,10.39955,.012863321,5.4790125,6.6496119,.0084263505,.66038752,10.416381,10.391899,.012863321,5.5038261,6.6771936,.0053081051,.65671885,10.39219,10.365612,.012934549,5.5160866,6.663733,.0086407587,.65429956,10.403955,10.379893,.012768317,5.5270452
1997,4,1,6.6479049,.0041678003,.65642893,10.445704,10.423002,.013432581,5.5019517,6.6221409,.0055679944,.66075814,10.422174,10.39955,.012863321,5.4790125,6.6496119,.0084263505,.66038752,10.416381,10.391899,.012863321,5.5038261,6.6771936,.0053081051,.65671885,10.39219,10.365612,.012934549,5.5160866
1997,7,1,6.6705046,.0039955322,.65777701,10.450877,10.426003,.013456272,5.4782195,6.6479049,.0041678003,.65642893,10.445704,10.423002,.013432581,5.5019517,6.6221409,.0055679944,.66075814,10.422174,10.39955,.012863321,5.4790125,6.6496119,.0084263505,.66038752,10.416381,10.391899,.012863321,5.5038261
1997,10,1,6.6767826,.0043428871,.65937388,10.453809,10.429581,.013408888,5.4933085,6.6705046,.0039955322,.65777701,10.450877,10.426003,.013456272,5.4782195,6.6479049,.0041678003,.65642893,10.445704,10.423002,.013432581,5.5019517,6.6221409,.0055679944,.66075814,10.422174,10.39955,.012863321,5.4790125
1998,1,1,6.6436758,.0010158622,.65811527,10.459953,10.437698,.013432581,5.4343333,6.6767826,.0043428871,.65937388,10.453809,10.429581,.013408888,5.4933085,6.6705046,.0039955322,.65777701,10.450877,10.426003,.013456272,5.4782195,6.6479049,.0041678003,.65642893,10.445704,10.423002,.013432581,5.5019517
1998,4,1,6.6797395,.0031558494,.65550506,10.47635,10.453621,.013385192,5.4332414,6.6436758,.0010158622,.65811527,10.459953,10.437698,.013432581,5.4343333,6.6767826,.0043428871,.65937388,10.453809,10.429581,.013408888,5.4933085,6.6705046,.0039955322,.65777701,10.450877,10.426003,.013456272,5.4782195
1998,7,1,6.668211,.0046167923,.65840483,10.480362,10.456274,.013456272,5.3689156,6.6797395,.0031558494,.65550506,10.47635,10.453621,.013385192,5.4332414,6.6436758,.0010158622,.65811527,10.459953,10.437698,.013432581,5.4343333,6.6767826,.0043428871,.65937388,10.453809,10.429581,.013408888,5.4933085
