year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,ffr_3,cci_3
1959,4,1,9.6633625,.0035078917,.6556015,9.8103552,9.282711,.0075837998,4.6215358,,,,,,,,,,,,,,,,,,,,,
1959,7,1,9.6697969,.0057647638,.65788293,9.8053999,9.2594881,.0087693818,4.6219292,9.6633625,.0035078917,.6556015,9.8103552,9.282711,.0075837998,4.6215358,,,,,,,,,,,,,,
1959,10,1,9.6766024,.0055506867,.65930676,9.8093634,9.25105,.009781139,4.6140308,9.6697969,.0057647638,.65788293,9.8053999,9.2594881,.0087693818,4.6219292,9.6633625,.0035078917,.6556015,9.8103552,9.282711,.0075837998,4.6215358,,,,,,,
1960,1,1,9.6764879,.0011737607,.66066939,9.8143959,9.2893419,.0096368529,4.619369,9.6766024,.0055506867,.65930676,9.8093634,9.25105,.009781139,4.6140308,9.6697969,.0057647638,.65788293,9.8053999,9.2594881,.0087693818,4.6219292,9.6633625,.0035078917,.6556015,9.8103552,9.282711,.0075837998,4.6215358
1960,4,1,9.6846323,.0063092336,.65745205,9.8178368,9.2605791,.0090829823,4.6266379,9.6764879,.0011737607,.66066939,9.8143959,9.2893419,.0096368529,4.619369,9.6766024,.0055506867,.65930676,9.8093634,9.25105,.009781139,4.6140308,9.6697969,.0057647638,.65788293,9.8053999,9.2594881,.0087693818,4.6219292
1960,7,1,9.6786251,.0042138598,.65832418,9.8164139,9.2679262,.0072440272,4.5957255,9.6846323,.0063092336,.65745205,9.8178368,9.2605791,.0090829823,4.6266379,9.6764879,.0011737607,.66066939,9.8143959,9.2893419,.0096368529,4.619369,9.6766024,.0055506867,.65930676,9.8093634,9.25105,.009781139,4.6140308
1960,10,1,9.6816463,.004570751,.66156054,9.8124838,9.2233419,.0056848717,4.5883293,9.6786251,.0042138598,.65832418,9.8164139,9.2679262,.0072440272,4.5957255,9.6846323,.0063092336,.65745205,9.8178368,9.2605791,.0090829823,4.6266379,9.6764879,.0011737607,.66066939,9.8143959,9.2893419,.0096368529,4.619369
1961,1,1,9.6865931,.0013680633,.66404891,9.8185081,9.2236023,.004926146,4.5747108,9.6816463,.004570751,.66156054,9.8124838,9.2233419,.0056848717,4.5883293,9.6786251,.0042138598,.65832418,9.8164139,9.2679262,.0072440272,4.5957255,9.6846323,.0063092336,.65745205,9.8178368,9.2605791,.0090829823,4.6266379
1961,4,1,9.6974516,-.00084781816,.66598833,9.8304052,9.2456427,.004288015,4.6150217,9.6865931,.0013680633,.66404891,9.8185081,9.2236023,.004926146,4.5747108,9.6816463,.004570751,.66156054,9.8124838,9.2233419,.0056848717,4.5883293,9.6786251,.0042138598,.65832418,9.8164139,9.2679262,.0072440272,4.5957255
1961,7,1,9.6966677,.0034273474,.66611207,9.8405304,9.2810917,.0041651102,4.6531982,9.6974516,-.00084781816,.66598833,9.8304052,9.2456427,.004288015,4.6150217,9.6865931,.0013680633,.66404891,9.8185081,9.2236023,.004926146,4.5747108,9.6816463,.004570751,.66156054,9.8124838,9.2233419,.0056848717,4.5883293
