DATE,VALUE
1947-01-01,16.217
1947-04-01,16.375
1947-07-01,16.670
1947-10-01,17.175
1948-01-01,17.457
1948-04-01,17.631
1948-07-01,17.803
1948-10-01,17.619
1949-01-01,17.351
1949-04-01,17.127
1949-07-01,16.933
1949-10-01,16.804
1950-01-01,16.697
1950-04-01,16.774
1950-07-01,17.255
1950-10-01,17.651
1951-01-01,18.396
1951-04-01,18.563
1951-07-01,18.524
1951-10-01,18.758
1952-01-01,18.777
1952-04-01,18.706
1952-07-01,18.739
1952-10-01,18.817
1953-01-01,18.735
1953-04-01,18.657
1953-07-01,18.696
1953-10-01,18.690
1954-01-01,18.753
1954-04-01,18.815
1954-07-01,18.740
1954-10-01,18.652
1955-01-01,18.652
1955-04-01,18.598
1955-07-01,18.616
1955-10-01,18.605
1956-01-01,18.649
1956-04-01,18.823
1956-07-01,19.003
1956-10-01,19.060
1957-01-01,19.236
1957-04-01,19.340
1957-07-01,19.546
1957-10-01,19.625
1958-01-01,19.938
1958-04-01,19.977
1958-07-01,19.917
1958-10-01,19.815
1959-01-01,19.875
1959-04-01,19.880
1959-07-01,19.966
1959-10-01,20.040
1960-01-01,20.012
1960-04-01,20.156
1960-07-01,20.215
1960-10-01,20.330
1961-01-01,20.361
1961-04-01,20.218
1961-07-01,20.256
1961-10-01,20.217
1962-01-01,20.296
1962-04-01,20.350
1962-07-01,20.369
1962-10-01,20.475
1963-01-01,20.505
1963-04-01,20.485
1963-07-01,20.635
1963-10-01,20.677
1964-01-01,20.801
1964-04-01,20.797
1964-07-01,20.859
1964-10-01,20.943
1965-01-01,21.006
1965-04-01,21.203
1965-07-01,21.320
1965-10-01,21.368
1966-01-01,21.656
1966-04-01,21.840
1966-07-01,21.994
1966-10-01,22.132
1967-01-01,22.126
1967-04-01,22.161
1967-07-01,22.393
1967-10-01,22.542
1968-01-01,22.775
1968-04-01,22.990
1968-07-01,23.210
1968-10-01,23.453
1969-01-01,23.629
1969-04-01,23.958
1969-07-01,24.293
1969-10-01,24.551
1970-01-01,24.867
1970-04-01,25.112
1970-07-01,25.281
1970-10-01,25.508
1971-01-01,25.550
1971-04-01,25.817
1971-07-01,26.042
1971-10-01,26.207
1972-01-01,26.490
1972-04-01,26.552
1972-07-01,26.786
1972-10-01,27.095
1973-01-01,27.676
1973-04-01,28.513
1973-07-01,29.241
1973-10-01,30.142
1974-01-01,31.699
1974-04-01,32.858
1974-07-01,33.782
1974-10-01,34.736
1975-01-01,35.225
1975-04-01,35.347
1975-07-01,36.133
1975-10-01,36.597
1976-01-01,36.646
1976-04-01,36.645
1976-07-01,37.101
1976-10-01,37.582
1977-01-01,38.270
1977-04-01,38.971
1977-07-01,39.375
1977-10-01,39.835
1978-01-01,40.365
1978-04-01,41.333
1978-07-01,42.011
1978-10-01,42.728
1979-01-01,43.920
1979-04-01,45.410
1979-07-01,46.884
1979-10-01,48.160
1980-01-01,50.020
1980-04-01,51.246
1980-07-01,52.334
1980-10-01,53.463
1981-01-01,55.038
1981-04-01,55.580
1981-07-01,56.016
1981-10-01,56.386
1982-01-01,56.650
1982-04-01,56.647
1982-07-01,57.378
1982-10-01,57.408
1983-01-01,57.246
1983-04-01,57.962
1983-07-01,58.399
1983-10-01,58.373
1984-01-01,59.056
1984-04-01,59.094
1984-07-01,59.229
1984-10-01,59.443
1985-01-01,59.856
1985-04-01,60.223
1985-07-01,60.345
1985-10-01,60.823
1986-01-01,60.520
1986-04-01,59.078
1986-07-01,59.231
1986-10-01,59.360
1987-01-01,60.681
1987-04-01,61.347
1987-07-01,61.929
1987-10-01,62.315
1988-01-01,62.515
1988-04-01,63.143
1988-07-01,63.977
1988-10-01,64.447
1989-01-01,65.330
1989-04-01,67.054
1989-07-01,66.999
1989-10-01,67.313
1990-01-01,69.018
1990-04-01,69.415
1990-07-01,70.875
1990-10-01,72.711
1991-01-01,72.348
1991-04-01,72.466
1991-07-01,72.530
1991-10-01,72.895
1992-01-01,73.020
1992-04-01,73.383
1992-07-01,73.912
1992-10-01,74.127
1993-01-01,74.351
1993-04-01,74.256
1993-07-01,73.948
1993-10-01,74.294
1994-01-01,74.081
1994-04-01,74.239
1994-07-01,75.007
1994-10-01,75.086
1995-01-01,75.065
1995-04-01,75.346
1995-07-01,75.507
1995-10-01,75.625
1996-01-01,76.370
1996-04-01,77.167
1996-07-01,77.052
1996-10-01,77.769
1997-01-01,78.080
1997-04-01,77.844
1997-07-01,77.795
1997-10-01,77.878
1998-01-01,77.255
1998-04-01,77.102
1998-07-01,77.411
1998-10-01,77.531
1999-01-01,77.791
1999-04-01,78.914
1999-07-01,79.760
1999-10-01,80.480
2000-01-01,81.714
2000-04-01,82.428
2000-07-01,83.080
2000-10-01,83.350
2001-01-01,83.575
2001-04-01,84.146
2001-07-01,83.800
2001-10-01,82.605
2002-01-01,82.457
2002-04-01,83.641
2002-07-01,83.874
2002-10-01,84.169
2003-01-01,85.581
2003-04-01,84.253
2003-07-01,85.419
2003-10-01,85.786
2004-01-01,86.948
2004-04-01,87.770
2004-07-01,88.273
2004-10-01,89.834
2005-01-01,89.681
2005-04-01,90.278
2005-07-01,93.051
2005-10-01,93.313
2006-01-01,93.424
2006-04-01,94.793
2006-07-01,95.876
2006-10-01,93.665
2007-01-01,94.967
2007-04-01,96.827
2007-07-01,97.505
2007-10-01,99.560
2008-01-01,101.248
2008-04-01,103.442
2008-07-01,106.159
2008-10-01,99.717
2009-01-01,97.467
2009-04-01,99.041
2009-07-01,101.224
2009-10-01,102.261
2010-01-01,102.863
2010-04-01,102.209
2010-07-01,102.755
2010-10-01,104.485
2011-01-01,106.782
2011-04-01,109.270
2011-07-01,110.154
2011-10-01,110.551
2012-01-01,111.511
2012-04-01,111.412
2012-07-01,111.813
2012-10-01,112.624
2013-01-01,112.403
2013-04-01,111.448
2013-07-01,112.166
