DATE,VALUE
1959-01-01,126.1
1959-04-01,127.2
1959-07-01,128.2
1959-10-01,129.5
1960-01-01,129.6
1960-04-01,132.0
1960-07-01,131.6
1960-10-01,132.4
1961-01-01,133.4
1961-04-01,134.2
1961-07-01,134.6
1961-10-01,136.2
1962-01-01,137.8
1962-04-01,138.8
1962-07-01,140.0
1962-10-01,141.5
1963-01-01,142.5
1963-04-01,142.8
1963-07-01,145.2
1963-10-01,145.3
1964-01-01,148.6
1964-04-01,151.5
1964-07-01,154.9
1964-10-01,155.8
1965-01-01,157.8
1965-04-01,160.8
1965-07-01,164.1
1965-10-01,170.5
1966-01-01,174.1
1966-04-01,177.3
1966-07-01,179.8
1966-10-01,180.4
1967-01-01,182.4
1967-04-01,184.0
1967-07-01,185.8
1967-10-01,187.9
1968-01-01,193.6
1968-04-01,197.8
1968-07-01,202.8
1968-10-01,205.0
1969-01-01,208.8
1969-04-01,212.2
1969-07-01,216.0
1969-10-01,219.7
1970-01-01,224.5
1970-04-01,226.6
1970-07-01,229.7
1970-10-01,234.5
1971-01-01,235.8
1971-04-01,238.8
1971-07-01,240.4
1971-10-01,243.6
1972-01-01,247.0
1972-04-01,254.3
1972-07-01,260.1
1972-10-01,268.1
1973-01-01,275.4
1973-04-01,281.4
1973-07-01,289.9
1973-10-01,297.7
1974-01-01,308.9
1974-04-01,318.0
1974-07-01,327.7
1974-10-01,330.9
1975-01-01,336.2
1975-04-01,344.8
1975-07-01,355.9
1975-10-01,359.7
1976-01-01,367.4
1976-04-01,373.1
1976-07-01,380.6
1976-10-01,389.6
1977-01-01,396.4
1977-04-01,403.7
1977-07-01,409.9
1977-10-01,423.6
1978-01-01,431.1
1978-04-01,444.8
1978-07-01,455.6
1978-10-01,469.4
1979-01-01,484.6
1979-04-01,500.1
1979-07-01,522.3
1979-10-01,539.4
1980-01-01,559.9
1980-04-01,565.9
1980-07-01,576.5
1980-10-01,591.2
1981-01-01,614.1
1981-04-01,622.9
1981-07-01,629.1
1981-10-01,635.7
1982-01-01,639.9
1982-04-01,638.7
1982-07-01,649.7
1982-10-01,656.8
1983-01-01,657.0
1983-04-01,673.0
1983-07-01,688.4
1983-10-01,696.5
1984-01-01,706.5
1984-04-01,722.4
1984-07-01,724.6
1984-10-01,732.8
1985-01-01,742.4
1985-04-01,752.8
1985-07-01,760.5
1985-10-01,773.4
1986-01-01,779.3
1986-04-01,767.4
1986-07-01,771.1
1986-10-01,779.0
1987-01-01,797.4
1987-04-01,812.3
1987-07-01,820.7
1987-10-01,826.8
1988-01-01,838.4
1988-04-01,853.6
1988-07-01,870.8
1988-10-01,886.3
1989-01-01,902.5
1989-04-01,927.8
1989-07-01,936.3
1989-10-01,951.3
1990-01-01,974.2
1990-04-01,980.8
1990-07-01,1003.1
1990-10-01,1018.8
1991-01-01,1014.2
1991-04-01,1021.7
1991-07-01,1024.4
1991-10-01,1020.7
1992-01-01,1037.7
1992-04-01,1047.2
1992-07-01,1061.0
1992-10-01,1074.8
1993-01-01,1079.1
1993-04-01,1086.3
1993-07-01,1092.5
1993-10-01,1105.3
1994-01-01,1116.8
1994-04-01,1128.1
1994-07-01,1149.6
1994-10-01,1163.0
1995-01-01,1166.9
1995-04-01,1177.0
1995-07-01,1183.7
1995-10-01,1191.6
1996-01-01,1211.2
1996-04-01,1239.5
1996-07-01,1246.5
1996-10-01,1268.3
1997-01-01,1281.1
1997-04-01,1277.9
1997-07-01,1297.7
1997-10-01,1308.2
1998-01-01,1307.1
1998-04-01,1320.3
1998-07-01,1335.1
1998-10-01,1355.3
1999-01-01,1384.9
1999-04-01,1417.9
1999-07-01,1439.7
1999-10-01,1482.3
2000-01-01,1491.9
2000-04-01,1534.8
2000-07-01,1557.2
2000-10-01,1577.3
2001-01-01,1572.1
2001-04-01,1590.2
2001-07-01,1591.0
2001-10-01,1581.6
2002-01-01,1584.6
2002-04-01,1608.2
2002-07-01,1616.6
2002-10-01,1643.5
2003-01-01,1682.5
2003-04-01,1668.5
2003-07-01,1722.9
2003-10-01,1742.3
2004-01-01,1779.2
2004-04-01,1801.6
2004-07-01,1825.9
2004-10-01,1875.0
2005-01-01,1895.9
2005-04-01,1916.8
2005-07-01,1980.1
2005-10-01,2019.5
2006-01-01,2038.6
2006-04-01,2075.3
2006-07-01,2109.5
2006-10-01,2095.3
2007-01-01,2128.8
2007-04-01,2166.1
2007-07-01,2184.3
2007-10-01,2228.6
2008-01-01,2253.9
2008-04-01,2318.9
2008-07-01,2348.4
2008-10-01,2172.4
2009-01-01,2125.0
2009-04-01,2143.6
2009-07-01,2199.1
2009-10-01,2232.8
2010-01-01,2264.7
2010-04-01,2261.0
2010-07-01,2287.3
2010-10-01,2355.6
2011-01-01,2418.7
2011-04-01,2475.6
2011-07-01,2489.2
2011-10-01,2501.1
2012-01-01,2535.6
2012-04-01,2535.6
2012-07-01,2550.5
2012-10-01,2567.1
2013-01-01,2592.3
2013-04-01,2574.9
2013-07-01,2606.5
2013-10-01,2622.0
2014-01-01,2631.6
2014-04-01,2672.4
2014-07-01,2692.2
2014-10-01,2676.6
2015-01-01,2599.7
2015-04-01,2651.8
2015-07-01,.
