source,alpha,phi,nu,real,mean,std,min,max,corr,coef_spread,se_spread
data,,,,0,5.86858169255319,3.05467250449256,0.995033039999968,16.37332,,,
,,,,1,1.98103865389362,2.30310592119331,-3.59148999999999,9.95132199999998,,,
nipa-collard,2,0,1,0,10.6209666963965,1.85125023083938,6.58489964175077,16.8266481315308,0.255221545216451,-0.513620072840481,0.0574128373642344
nipa-collard,2,0,1,1,6.72526683365334,2.17378575127792,-0.17599327051478,11.9210482490481,0.0196052942625665,-0.532926987128313,0.0632684858941738
nipa-collard,2,0.8,1,0,9.10492314613825,7.47924218091172,-7.46724168497261,30.8689603758076,0.0302561442069487,-1.20451444007403,0.216672261026285
nipa-collard,2,0.8,1,1,5.20955941129093,7.72646617137524,-18.3451554812664,26.9238026636053,-0.0978741496710686,-1.12504777622892,0.217883010943772
nipa-collard,2,0,0.34,0,9.38840138272007,1.70703441685157,5.77670846308338,14.0292325190075,0.562603728249141,-0.391514028184036,0.0434995232197473
nipa-collard,2,0,0.34,1,5.49288024797761,1.28995706065283,1.25068355273827,8.8621252941963,0.0645306446344628,-0.405924938025815,0.0510770791211444
nipa-collard,2,0.8,0.34,0,8.87708225619496,3.32889084934341,2.63163107654822,21.5964825821355,0.22530896409214,-0.74969999601985,0.113520459016208
nipa-collard,2,0.8,0.34,1,4.98224758150427,3.37160575537819,-7.95818587024788,16.6948170469613,-0.0581706893736761,-0.707117286431973,0.115509420937203
