source,alpha,phi,nu,real,mean,std,min,max,corr,coef_spread,se_spread
data,,,,0,5.107168277,3.392731483,0.069975508,16.37332,,,
data,,,,1,1.499955357,2.535721964,-4.206220472,9.951322,,,
nipa,2,0,1,0,9.80312159,2.608981327,-2.429271405,16.61223766,0.52016512,-0.273330554,0.043011601
nipa,2,0,1,1,6.18917828,2.35945448,-3.213928019,11.1280605,0.196548165,-0.306843283,0.049758673
nipa,2,0.8,1,0,8.478868388,6.778946332,-21.31435128,28.38330713,0.141504585,-0.953787267,0.161496267
nipa,2,0.8,1,1,4.865913333,6.965538887,-22.09805824,25.70768944,-0.04981751,-0.906264086,0.165424909
nipa,2,0,0.34,0,8.772015413,2.140643152,0.247788349,13.83625407,0.706782739,-0.282252855,0.03587508
nipa,2,0,0.34,1,5.158106951,1.387443481,0.02694864,8.241110086,0.261458884,-0.311784386,0.043571387
nipa,2,0.8,0.34,0,8.332181839,3.192835944,-3.514719169,19.60032681,0.39003114,-0.64043548,0.089092497
nipa,2,0.8,0.34,1,4.71952339,3.095997952,-8.728141902,15.03994206,0.033174199,-0.623464538,0.09300366
